Question,Answer,Category,Difficulty
Explain the concept of recursion. (Q799),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain polymorphism in OOP. (Q800),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain the concept of encryption. (Q801),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is overfitting in machine learning? (Q802),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a variable in programming? (Q803),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What are data types in programming? (Q804),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a primary key in a database? (Q805),A primary key uniquely identifies each record in a table.,General,Easy
Explain normalization in databases. (Q806),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a brute force attack? (Q807),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a variable in programming? (Q808),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a foreign key? (Q809),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is artificial intelligence? (Q810),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain the concept of recursion. (Q811),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of recursion. (Q812),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a foreign key? (Q813),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a neural network? (Q814),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is overfitting in machine learning? (Q815),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is two-factor authentication? (Q816),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a brute force attack? (Q817),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is SQL used for? (Q818),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between a compiler and an interpreter? (Q819),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is the difference between SQL and NoSQL? (Q820),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a brute force attack? (Q821),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain the concept of recursion. (Q822),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Define a firewall. (Q823),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
